f41,zlabel,f13,f15_id,f14,f16,f24,kommentar,f17_id,birthyear,ort,land
10001,"Habsburg, Ferdinand III. (1608–1657), Kaiser des Heiligen Römischen Reiches",1608 Jul 13,Graz,1657 Apr 02,Wien:Kapuzinergruft,m,,Wien:Kapuzinergruft,1600,Graz,Austria
10002,"Thun, Christoph Simon (1582–1635), Großprior des Malteserordens in Ungarn",1582 Sep 12,Kastelpfund,1635 Mar 27,Wien,m,,Wien,1600,Kastelpfund,Italy
10003,"Trauttmansdorff, Maximilian (1584–1650), Obersthofmeister",1584 Mai 23,Gleichenberg in der Steiermark,1650 Jun 08,Wien:Franziskanerkirche,m,,Wien:Franziskanerkirche,1600,Gleichenberg in der Steiermark,Austria
10004,"Auersperg, Johann Weikhard (1615–1677), Obersthofmeister",1615 Mar 11,Seisenberg in der Krain,1677 Nov 13,Laibach:Franziskanerkirche,m,,Laibach:Franziskanerkirche,1600,Seisenberg in der Krain,Slovenia
10005,"Dietrichstein, Siegmund Ludwig (1600–1653), Hofkammerpräsident von Innerösterreich",1600~,Weixelstätten,1653 Okt 18,Graz,m,,Graz,1600,Weixelstätten,Slovenia
10006,"Habsburg, Leopold Wilhelm (1614–1662), Statthalter der Spanischen Niederlande",1614 Jan 05,Neustadt im Steinfeld,1662 Nov 20,Wien:Kapuzinergruft,m,,Wien:Kapuzinergruft,1600,Neustadt im Steinfeld,Austria
10007,"Thun, Johann Siegmund (1594–1646), Statthalter von Böhmen",1594 Sep 20,Kastelpfund,1646 Jun 29,Tetschen,m,,Tetschen,1600,Kastelpfund,Italy
10008,"Bubna, Heinrich Johann (1596–1653), Landeshauptmann von Glatz",1596,Litice im Adlergebirge,1653 Apr 13,"Glatz, ▭ Senftenberg im Adlergebirge",m,,Glatz,1600,Litice im Adlergebirge,Czechia
10009,"Breunner, Siegfried Christoph (1569–1651), Statthalter von Niederösterreich",1569,Staatz im Weinviertel,1651 Aug 22,Asparn an der Zaya,m,,Asparn an der Zaya,1550,Staatz im Weinviertel,Austria
10010,"Kuefstein, Johann Ludwig (1582–1656), Landeshauptmann von Oberösterreich",1582 Jun 11,Greillenstein,1656 Sep 27,Linz an der Donau,m,,Linz an der Donau,1600,Greillenstein,Austria
10011,"Kurtz von Senftenau, Ferdinand Siegmund (1592–1659), Reichsvizekanzler",1592,München,1659 Mar 24,Wien,m,,Wien,1600,München,Germany
10012,"Habsburg, Ferdinand II. (1578–1637), Kaiser des Heiligen Römischen Reiches",1578 Jul 09,Graz,1637 Feb 15,"Wien, ▭ Graz",m,,Wien,1600,Graz,Austria
10013,"Lippay, Georg (1600–1666), Erzbischof von Gran",1600 Okt 09,Pressburg,1666 Jan 30,Tyrnau,m,,Tyrnau,1600,Pressburg,Slovakia
10014,"Mannagetta, Johann Wilhelm (1588–1666), Hofarzt",1588 Mai 01,Wilhelmsburg an der Traisen,1666 Mai 31,Wien,m,,Wien,1600,Wilhelmsburg an der Traisen,Austria
10015,"Mansfeld, Bruno (1576–1644), Oberstjägermeister",1576 Sep 18,Bornstedt im Harz,1644 Sep 16,Wien,m,,Wien,1600,Bornstedt im Harz,Germany
10016,"Marradas, Balthasar (1560–1638), Statthalter von Böhmen",1560 Nov 28,Valencia,1638 Aug 12,Prag,m,,Prag,1550,Valencia,Spain
10017,"Martinitz, Jaroslaus (1582–1649), Oberstburggraf von Prag",1582 Jan 06,Prag,1649 Nov 21,Prag,m,,Prag,1600,Prag,Czechia
10018,"Meggau, Franziska (1609–1676), Obersthofmeisterin",1609 Okt 28,Wien,1676 Okt 22,Wien,w,,Wien,1600,Wien,Austria
10019,"Oettingen, Ernst (1594–1670), Reichshofratspräsident",1594 Aug 15,Wallerstein,1670 Mar 02,Wien,m,,Wien,1600,Wallerstein,Germany
10020,"Oettingen, Wolfgang (1629–1708), Obersthofmeister",1629 Feb 01,Wallerstein,1708 Okt 06,"Wien, ▭ Wallerstein",m,,Wien,1650,Wallerstein,Germany
10021,"Dietrichstein, Maximilian (1596–1655), Obersthofmeister",1596 Jun 27,Nikolsburg in Mähren,1655 Nov 06,Wien,m,,Wien,1600,Nikolsburg in Mähren,Czechia
10022,"Wolfradt, Anton (1581–1639), Bischof von Wien",1581 Jul 09,Köln am Rhein,1639 Apr 01,Wien:Stephansdom,m,,Wien:Stephansdom,1600,Köln am Rhein,Germany
10023,"Slavata, Wilhelm (1572–1652), Oberstkanzler von Böhmen",1572 Dez 01,Čestín,1652 Jan 19,"Wien, ▭ Neuhaus in Böhmen",m,,Wien,1550,Čestín,Czechia
10024,"Meggau, Leonhard Helfried (1577–1644), Obersthofmeister",1577,Kreuzen im Mühlviertel,1644 Apr 23,"Greinburg, ▭ Wien:Franziskanerkirche",m,,Greinburg,1600,Kreuzen im Mühlviertel,Austria
10025,"Thun, Christoph Simon (1615–1643), Mundschenk",1615 Nov 17,Kastelpfund,1643 Nov 14,"Brieg, ▭ Glatz",m,,Brieg,1600,Kastelpfund,Italy
10026,"Mansfeld, Wolfgang (1575–1638), Geheimer Rat",1575 Dez 22,Bornstedt im Harz,1638 Mai 15,"Jauer an der Raab, ▭ Wien:Michaelerkirche",m,,Jauer an der Raab,1600,Bornstedt im Harz,Germany
10027,"Leslie, Walter (1606–1667), Geheimer Rat",1606,Balquhain,1667 Mar 04,Wien:Schottenkirche,m,,Wien:Schottenkirche,1600,Balquhain,United Kingdom
10028,"Hohenzollern, Georg Friedrich (1604–1633), Kämmerer",1604,Hechingen,1633 Dez 06,Uttenweiler,m,,Uttenweiler,1600,Hechingen,Germany
10029,"Pálffy, Johann (1588–1646), Ungarischer Kronhüter",1588,Bibersburg,1646 Mai 29,Pressburg,m,,Pressburg,1600,Bibersburg,Slovakia
10030,"Waldstein, Albrecht (1583–1634), Oberbefehlshaber der Streitkräfte",1583 Sep 24,Hermanitz an der Elbe,1634 Feb 25,"Eger in Böhmen, ▭ Mies im Böhmerwald:Minoritenkirche, ▭ Walditz in Böhmen:Kartause, ▭ Grätz an der Iser:Kapuzinerkirche",m,,Eger in Böhmen,1600,Hermanitz an der Elbe,Czechia
